Title,Author
TOXIC PREY,by John Sandford
THE WOMEN,by Kristin Hannah
THE FAMILIAR,by Leigh Bardugo
A COURT OF THORNS AND ROSES,by Sarah J. Maas
A COURT OF MIST AND FURY,by Sarah J. Maas
SOMEHOW,by Anne Lamott
THE ANXIOUS GENERATION,by Jonathan Haidt
THE WIDE WIDE SEA,by Hampton Sides
I'M GLAD MY MOM DIED,by Jennette McCurdy
THE BODY KEEPS THE SCORE,by Bessel van der Kolk
THE WOMEN,by Kristin Hannah
THE FAMILIAR,by Leigh Bardugo
FOURTH WING,by Rebecca Yarros
TOXIC PREY,by John Sandford
IRON FLAME,by Rebecca Yarros
SOMEHOW,by Anne Lamott
THE ANXIOUS GENERATION,by Jonathan Haidt
I'M GLAD MY MOM DIED,by Jennette McCurdy
THE WIDE WIDE SEA,by Hampton Sides
AGE OF REVOLUTIONS,by Fareed Zakaria
A COURT OF THORNS AND ROSES,by Sarah J. Maas
WILD LOVE,by Elsie Silver
A COURT OF MIST AND FURY,by Sarah J. Maas
JUST FOR THE SUMMER,by Abby Jimenez
A COURT OF WINGS AND RUIN,by Sarah J. Maas
THE BODY KEEPS THE SCORE,by Bessel van der Kolk
KILLERS OF THE FLOWER MOON,by David Grann
THINK AGAIN,by Adam Grant
"THINKING, FAST AND SLOW",by Daniel Kahneman
BRAIDING SWEETGRASS,by Robin Wall Kimmerer
ATOMIC HABITS,by James Clear
THE CREATIVE ACT,by Rick Rubin with Neil Strauss
PLANTYOU: SCRAPPY COOKING,by Carleigh Bodrug
SUPERCOMMUNICATORS,by Charles Duhigg
MOSTLY WHAT GOD DOES,by Savannah Guthrie
WONDER,by R.J. Palacio
HEROES,by Alan Gratz
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids
THE SUN AND THE STAR,by Rick Riordan and Mark Oshiro
ODDER,by Katherine Applegate. Illustrated by Charles Santoso
DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri
WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom
THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin
BLUEY: SLEEPYTIME,by Joe Brumm
ADDIE ANT GOES ON AN ADVENTURE,by Maren Morris and Karina Argow. Illustrated by Kelly Anne Dalton
THRONE OF GLASS,by Sarah J. Maas
A GOOD GIRL'S GUIDE TO MURDER,by Holly Jackson
DIARY OF A WIMPY KID,written and illustrated by Jeff Kinney
HARRY POTTER,by J.K. Rowling
ONCE UPON A BROKEN HEART,by Stephanie Garber
POWERLESS,by Lauren Roberts
THE REAPPEARANCE OF RACHEL PRICE,by Holly Jackson
DIVINE RIVALS,by Rebecca Ross
RUTHLESS VOWS,by Rebecca Ross
HEARTLESS HUNTER,by Kristen Ciccarelli
